STATE,ELECTRIC_VEHICLE_TYPE,TOTAL_VEHICLES,PROMEDIO_ELECTRIC_RANGE,MODEL_YEAR
OR,Battery Electric Vehicle (BEV),2025,2.0,0
MS,Battery Electric Vehicle (BEV),2021,1.0,0
NH,Battery Electric Vehicle (BEV),2026,1.0,0
FL,Battery Electric Vehicle (BEV),2023,9.0,0
FL,Battery Electric Vehicle (BEV),2022,6.0,0
LA,Battery Electric Vehicle (BEV),2024,4.0,0
OR,Battery Electric Vehicle (BEV),2022,6.0,0
MD,Battery Electric Vehicle (BEV),2022,3.0,0
NH,Battery Electric Vehicle (BEV),2024,1.0,0
GA,Battery Electric Vehicle (BEV),2025,2.0,0
NE,Battery Electric Vehicle (BEV),2024,1.0,0
KY,Battery Electric Vehicle (BEV),2022,1.0,0
SC,Battery Electric Vehicle (BEV),2023,1.0,0
AZ,Battery Electric Vehicle (BEV),2022,2.0,0
GA,Battery Electric Vehicle (BEV),2022,1.0,0
MD,Plug-in Hybrid Electric Vehicle (PHEV),2021,2.0,32
AZ,Plug-in Hybrid Electric Vehicle (PHEV),2020,1.0,32
VA,Plug-in Hybrid Electric Vehicle (PHEV),2023,2.0,32
IL,Plug-in Hybrid Electric Vehicle (PHEV),2021,1.0,32
KS,Plug-in Hybrid Electric Vehicle (PHEV),2019,1.0,32
KS,Plug-in Hybrid Electric Vehicle (PHEV),2025,1.0,32
TX,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,32
NV,Plug-in Hybrid Electric Vehicle (PHEV),2023,1.0,32
KS,Plug-in Hybrid Electric Vehicle (PHEV),2024,1.0,32
AZ,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,32
DC,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,32
PA,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,35
NJ,Plug-in Hybrid Electric Vehicle (PHEV),2024,1.0,35
OR,Plug-in Hybrid Electric Vehicle (PHEV),2022,3.0,35
NV,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,35
WA,Plug-in Hybrid Electric Vehicle (PHEV),2025,7796.0,35
TX,Plug-in Hybrid Electric Vehicle (PHEV),2012,1.0,35
NJ,Plug-in Hybrid Electric Vehicle (PHEV),2012,1.0,35
WA,Plug-in Hybrid Electric Vehicle (PHEV),2011,57.0,35
AL,Plug-in Hybrid Electric Vehicle (PHEV),2024,1.0,21
SC,Plug-in Hybrid Electric Vehicle (PHEV),2024,1.0,21
TN,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,21
SC,Plug-in Hybrid Electric Vehicle (PHEV),2023,1.0,21
FL,Plug-in Hybrid Electric Vehicle (PHEV),2024,1.0,21
UT,Plug-in Hybrid Electric Vehicle (PHEV),2023,1.0,21
NY,Plug-in Hybrid Electric Vehicle (PHEV),2021,2.0,21
WA,Plug-in Hybrid Electric Vehicle (PHEV),2012,786.0,21
GA,Plug-in Hybrid Electric Vehicle (PHEV),2022,2.0,33
MD,Plug-in Hybrid Electric Vehicle (PHEV),2018,1.0,33
WA,Plug-in Hybrid Electric Vehicle (PHEV),2018,4231.0,33
KY,Plug-in Hybrid Electric Vehicle (PHEV),2018,1.0,33
IN,Plug-in Hybrid Electric Vehicle (PHEV),2018,1.0,33
VA,Plug-in Hybrid Electric Vehicle (PHEV),2022,3.0,33
WA,Plug-in Hybrid Electric Vehicle (PHEV),2014,1655.0,33
IL,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,25
NJ,Plug-in Hybrid Electric Vehicle (PHEV),2020,1.0,25
TN,Plug-in Hybrid Electric Vehicle (PHEV),2021,1.0,25
MI,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,25
AL,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,25
RI,Plug-in Hybrid Electric Vehicle (PHEV),2017,1.0,25
WA,Plug-in Hybrid Electric Vehicle (PHEV),2013,1501.0,25
CO,Plug-in Hybrid Electric Vehicle (PHEV),2017,1.0,25
TX,Plug-in Hybrid Electric Vehicle (PHEV),2017,2.0,25
NY,Plug-in Hybrid Electric Vehicle (PHEV),2017,1.0,25
MD,Plug-in Hybrid Electric Vehicle (PHEV),2015,1.0,19
PA,Plug-in Hybrid Electric Vehicle (PHEV),2015,1.0,19
MD,Plug-in Hybrid Electric Vehicle (PHEV),2014,1.0,19
CA,Plug-in Hybrid Electric Vehicle (PHEV),2017,4.0,19
AE,Plug-in Hybrid Electric Vehicle (PHEV),2014,1.0,19
NV,Plug-in Hybrid Electric Vehicle (PHEV),2014,1.0,19
CA,Plug-in Hybrid Electric Vehicle (PHEV),2016,1.0,19
NY,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,42
